names	in_Gavin	in_Krogan	unique_to_Gavin	unique_to_Krogan
TRM8	0	1	0	1
ACK1	1	1	0	0
NHP2	0	1	0	1
CWC2	1	0	1	0
NOP6	1	0	1	0
GDH2	0	1	0	1
RRI1	1	1	0	0
CDC13	0	1	0	1
SHS1	1	1	0	0
SSB1	1	0	1	0
YPD1	0	1	0	1
PHO13	0	1	0	1
ADY3	0	1	0	1
YDL241W	0	1	0	1
NTH1	1	1	0	0
MAF1	1	1	0	0
SOK1	0	1	0	1
SNQ2	0	1	0	1
RPL4B	1	0	1	0
PSF1	0	1	0	1
DAD1	0	1	0	1
KCS1	0	1	0	1
YDR018C	0	1	0	1
FAL1	0	1	0	1
SES1	0	1	0	1
RPS11A	1	0	1	0
NSI1	0	1	0	1
VPS54	1	0	1	0
REG1	1	1	0	0
PST2	1	1	0	0
MRH1	0	1	0	1
LYS14	0	1	0	1
ARO3	1	0	1	0
EHD3	1	0	1	0
KRS1	1	0	1	0
RSM10	1	1	0	0
NRG1	0	1	0	1
HEM13	1	1	0	0
RPC11	1	1	0	0
HEM12	0	1	0	1
VMS1	1	1	0	0
TPI1	1	0	1	0
DET1	0	1	0	1
DBF4	0	1	0	1
CDC34	0	1	0	1
PST1	0	1	0	1
TGL2	0	1	0	1
UBC5	0	1	0	1
MAK21	1	1	0	0
LCB2	1	0	1	0
RPS13	1	0	1	0
RRG1	0	1	0	1
DOA4	1	1	0	0
PAA1	1	1	0	0
SNF11	1	0	1	0
TPS2	1	1	0	0
PPH3	1	1	0	0
PDC2	0	1	0	1
RRP8	1	0	1	0
SSS1	0	1	0	1
RRP1	1	1	0	0
RLI1	1	1	0	0
UBC13	0	1	0	1
MSH6	1	1	0	0
GRX3	0	1	0	1
BMH2	1	1	0	0
ARX1	1	1	0	0
STE5	0	1	0	1
TRS85	1	0	1	0
ALT2	0	1	0	1
PDS1	0	1	0	1
MRPL1	1	1	0	0
TMA64	0	1	0	1
APC4	1	1	0	0
TRM1	0	1	0	1
DPB4	1	1	0	0
INO2	0	1	0	1
YDR124W	0	1	0	1
ARO1	1	1	0	0
MTC5	0	1	0	1
SAC6	1	1	0	0
RGP1	1	1	0	0
HPR1	1	1	0	0
RUB1	0	1	0	1
MTQ2	1	0	1	0
